City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Nandurbar,IN,2021-10-22 03:46:05,21.3667,74.25,80.28,40,5,3.15
235,Iberia,US,2021-10-22 03:46:05,29.9502,-91.7507,75.18,100,20,4.61
236,Oum Hadjer,TD,2021-10-22 03:46:05,13.2954,19.6966,82.44,45,83,3.24
237,Hukuntsi,BW,2021-10-22 03:46:06,-24.0,21.75,59.05,81,0,8.81
238,Kidal,ML,2021-10-22 03:46:06,18.4411,1.4078,78.85,21,3,9.13
239,Salalah,OM,2021-10-22 03:46:06,17.0151,54.0924,73.49,68,20,4.61
240,Damghan,IR,2021-10-22 03:46:07,36.1683,54.348,47.62,50,0,0.18
241,Makat,KZ,2021-10-22 03:46:07,47.6469,53.3463,47.79,68,85,19.39
242,Torit,SS,2021-10-22 03:46:08,4.4133,32.5678,70.83,85,25,2.75
243,Rocha,UY,2021-10-22 03:43:49,-34.4833,-54.3333,50.25,93,0,6.49
244,Yar-Sale,RU,2021-10-22 03:46:08,66.8333,70.8333,29.61,87,100,8.81
245,Rio Claro,BR,2021-10-22 03:46:09,-22.4114,-47.5614,64.78,83,0,4.68
246,Salvador,SV,2021-10-22 03:46:09,13.8333,-88.9167,72.0,98,88,1.34
247,Volsk,RU,2021-10-22 03:46:09,52.0333,47.3833,48.11,63,99,16.4
248,Chisindia,RO,2021-10-22 03:46:10,46.2833,22.1,52.99,94,100,1.81
249,Bandarbeyla,SO,2021-10-22 03:46:10,9.4942,50.8122,77.95,75,50,4.34
250,Bukama,CD,2021-10-22 03:46:11,-9.2,25.85,70.63,91,97,0.89
251,Sarkand,KZ,2021-10-22 03:46:11,45.41,79.9186,37.74,95,100,6.26
252,Rincon,US,2021-10-22 03:46:11,32.296,-81.2354,74.86,95,20,5.75
253,Albany,US,2021-10-22 03:44:09,42.6001,-73.9662,63.18,78,50,1.01
254,Lahij,YE,2021-10-22 03:46:12,13.1667,44.5833,77.9,69,56,1.83
255,Pitsunda,GE,2021-10-22 03:46:13,43.1592,40.3378,48.38,45,0,5.57
256,Termoli,IT,2021-10-22 03:46:13,41.9888,14.9895,62.83,76,95,4.43
257,Itaituba,BR,2021-10-22 03:46:14,-4.2761,-55.9836,74.25,97,99,1.97
258,Lithakia,GR,2021-10-22 03:46:15,37.7167,20.8333,60.17,73,2,7.25
259,North Potomac,US,2021-10-22 03:42:07,39.0829,-77.265,69.87,73,75,1.99
260,Hearst,CA,2021-10-22 03:46:15,49.6835,-83.6665,34.05,87,95,6.17
261,San Patricio,US,2021-10-22 03:43:03,28.017,-97.5169,77.85,71,23,5.84
262,Namibe,AO,2021-10-22 03:45:51,-15.1961,12.1522,63.93,70,54,7.63
263,Coquimbo,CL,2021-10-22 03:46:16,-29.9533,-71.3436,55.13,87,0,5.75
264,Nouakchott,MR,2021-10-22 03:42:47,18.0858,-15.9785,73.33,33,48,9.89
265,Tortoli,IT,2021-10-22 03:46:16,39.9256,9.6572,66.02,82,20,5.75
266,Bilma,NE,2021-10-22 03:46:17,18.6853,12.9164,77.85,20,17,9.62
267,Mahibadhoo,MV,2021-10-22 03:42:22,3.7833,72.9667,81.84,71,19,7.29
268,Mahebourg,MU,2021-10-22 03:46:17,-20.4081,57.7,77.25,83,75,9.22
269,Tete,MZ,2021-10-22 03:46:17,-16.1564,33.5867,73.49,64,20,8.01
270,Gamba,GA,2021-10-22 03:46:18,-2.65,10.0,75.22,90,100,6.98
271,The Valley,AI,2021-10-22 03:46:18,18.217,-63.0578,83.1,64,15,19.69
272,Warrington,GB,2021-10-22 03:46:19,53.3925,-2.5802,51.87,80,75,8.99
273,Dingle,PH,2021-10-22 03:45:39,10.9995,122.6711,84.63,75,76,12.35
274,Bozdar,PK,2021-10-22 03:46:19,27.1828,68.636,73.47,53,0,10.13
275,Saint-Georges,GD,2021-10-22 03:45:31,12.0564,-61.7485,81.61,74,79,17.72
276,Soyo,AO,2021-10-22 03:45:26,-6.1349,12.3689,75.99,84,100,4.68
277,Clyde River,CA,2021-10-22 03:46:20,70.4692,-68.5914,20.03,79,48,7.76
278,Hualmay,PE,2021-10-22 03:42:54,-11.0964,-77.6139,62.47,86,87,8.28
279,Yarovoye,RU,2021-10-22 03:46:20,52.9273,78.58,36.37,59,100,19.01
280,Ormara,PK,2021-10-22 03:46:20,25.2088,64.6357,79.57,69,1,14.5
281,San Lawrenz,MT,2021-10-22 03:46:21,36.0553,14.204,71.85,87,1,3.0
282,Mednogorsk,RU,2021-10-22 03:46:21,51.4128,57.595,36.14,99,100,15.14
283,Wukari,NG,2021-10-22 03:46:22,7.85,9.7833,75.58,87,100,2.35
284,Tombouctou,ML,2021-10-22 03:46:22,20.0,-3.0,71.02,31,2,9.84
285,Besikduzu,TR,2021-10-22 03:46:22,41.052,39.2284,53.49,46,0,7.02
286,Pangnirtung,CA,2021-10-22 03:46:23,66.1451,-65.7125,27.37,80,100,2.51
287,Corum,TR,2021-10-22 03:46:23,40.5,34.75,42.12,45,0,2.15
288,Paray-Le-Monial,FR,2021-10-22 03:46:23,46.4546,4.1158,52.48,96,90,1.01
289,Kovdor,RU,2021-10-22 03:46:23,67.5662,30.4758,27.63,87,100,12.64
290,Maragogi,BR,2021-10-22 03:46:24,-9.0122,-35.2225,75.94,89,93,6.87
291,Kruisfontein,ZA,2021-10-22 03:46:24,-34.0033,24.7314,61.88,90,100,3.78
292,Riviere-Au-Renard,CA,2021-10-22 03:46:25,48.9957,-64.3971,48.2,86,100,7.05
293,Mehamn,NO,2021-10-22 03:46:25,71.0357,27.8492,31.95,74,75,14.97
294,Kabwe,ZM,2021-10-22 03:46:25,-14.4469,28.4464,63.77,70,9,7.07
