City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
214,Inongo,CD,-1.95,18.2667,72.95,90,17,7.63,few clouds
215,Zelenoborsk,RU,61.4669,64.0333,39.11,81,98,13.4,overcast clouds
216,Starominskaya,RU,46.53,39.0497,54.82,79,99,8.21,moderate rain
217,Karlshamn,SE,56.1706,14.8619,36.91,76,75,3.15,broken clouds
218,Taltal,CL,-25.4,-70.4833,60.89,71,21,8.1,few clouds
219,Kismayo,SO,-0.3582,42.5454,77.68,79,6,8.95,clear sky
220,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,82.8,74,94,1.54,overcast clouds
221,Sinnamary,GF,5.3833,-52.95,78.62,88,100,12.91,overcast clouds
222,Albany,US,42.6001,-73.9662,51.75,63,96,7.18,overcast clouds
223,Igrim,RU,63.1906,64.4162,32.45,85,100,9.01,overcast clouds
224,Gubkinskiy,RU,64.434,76.5026,34.99,93,100,18.57,overcast clouds
225,Parry Sound,CA,45.3501,-80.033,47.91,87,94,4.27,overcast clouds
226,Najran,SA,17.4924,44.1277,64.0,28,8,0.65,clear sky
227,Punta Alta,AR,-38.8759,-62.0736,56.57,50,24,15.7,few clouds
228,Rydultowy,PL,50.0586,18.417,40.14,86,8,1.99,clear sky
229,Sorland,NO,67.667,12.6934,41.94,71,99,10.31,overcast clouds
230,Suceveni,RO,46.0122,28.0181,50.27,46,89,11.61,overcast clouds
231,Prainha,BR,-1.8,-53.48,83.35,65,74,3.06,broken clouds
232,Sur,OM,22.5667,59.5289,80.71,64,0,9.82,clear sky
233,Ordynskoye,RU,54.3656,81.8994,45.88,67,100,18.92,overcast clouds
234,Tazovskiy,RU,67.4667,78.7,27.97,98,100,7.87,overcast clouds
235,Jibuti,DJ,11.5,42.5,78.22,59,58,13.11,broken clouds
236,Cocobeach,GA,1.0002,9.5823,77.13,86,91,1.95,light rain
237,Fartura,BR,-23.3883,-49.51,76.06,48,89,6.44,moderate rain
238,Kadrina,EE,59.3347,26.145,35.89,75,100,9.44,overcast clouds
239,Channel-Port Aux Basques,CA,47.5702,-59.1367,56.01,96,100,7.2,light rain
240,Salamanca,ES,40.8333,-6.0,53.62,48,69,2.86,broken clouds
241,Puerto Colombia,CO,10.9878,-74.9547,83.17,76,32,5.37,scattered clouds
242,Santa Cruz,BO,-17.8,-63.1667,98.17,25,6,20.54,clear sky
243,Bicholim,IN,15.5869,73.9462,74.34,90,85,2.39,overcast clouds
244,Progreso,MX,21.2833,-89.6667,87.91,79,100,9.73,overcast clouds
245,Hofn,IS,64.2539,-15.2082,45.61,83,98,5.37,overcast clouds
